GameID,BoardSize,PlayerX,PlayerX_Runtime,PlayerO,PlayerO_RuntimeWinner,NumTurns,TotalRunTimeSec
60,4x4,ExpectiminimaxAI,1.962995,ExpectiminimaxAI, 1.266958,Draw,16,3.229954
61,4x4,GeminiAI,14.536403,MinimaxAI, 0.188388,O,14,14.724791
62,4x4,GeminiAI,11.128538,AlphaBetaAI, 0.151496,Draw,16,11.281296
63,4x4,GeminiAI,12.497653,ExpectiminimaxAI, 1.291286,O,12,13.788939
64,4x4,MinimaxAI,0.173956,AlphaBetaAI, 0.115084,Draw,16,0.289041
65,4x4,MinimaxAI,0.175063,ExpectiminimaxAI, 1.232237,Draw,16,1.407300
66,4x4,AlphaBetaAI,0.149038,MinimaxAI, 0.131234,Draw,16,0.280272
67,4x4,ExpectiminimaxAI,2.572475,MinimaxAI, 0.137685,Draw,16,2.710160
68,4x4,MinimaxAI,0.185368,MinimaxAI, 0.147526,Draw,16,0.332893
69,4x4,AlphaBetaAI,0.152561,AlphaBetaAI, 0.108221,Draw,16,0.260782
70,4x4,ExpectiminimaxAI,1.945480,ExpectiminimaxAI, 1.265599,Draw,16,3.211079
71,4x4,GeminiAI,3.947601,MinimaxAI, 0.195177,O,12,4.142778
72,4x4,GeminiAI,9.559761,AlphaBetaAI, 0.206796,Draw,16,9.766557
73,4x4,GeminiAI,21.468157,ExpectiminimaxAI, 1.207050,Draw,16,22.677327
74,4x4,MinimaxAI,0.184859,AlphaBetaAI, 0.130021,Draw,16,0.314879
75,4x4,MinimaxAI,0.193500,ExpectiminimaxAI, 1.187725,Draw,16,1.381225
76,4x4,AlphaBetaAI,0.149969,MinimaxAI, 0.130249,Draw,16,0.280218
77,4x4,ExpectiminimaxAI,2.773604,MinimaxAI, 0.150367,Draw,16,2.923971
78,4x4,MinimaxAI,0.186322,MinimaxAI, 0.146215,Draw,16,0.332537
79,4x4,AlphaBetaAI,0.159876,AlphaBetaAI, 0.146454,Draw,16,0.306330
80,4x4,ExpectiminimaxAI,1.927755,ExpectiminimaxAI, 1.258698,Draw,16,3.186454
81,4x4,GeminiAI,21.056051,MinimaxAI, 0.182835,Draw,16,21.238887
82,4x4,GeminiAI,6.569788,AlphaBetaAI, 0.205586,Draw,16,6.777424
83,4x4,GeminiAI,14.046874,ExpectiminimaxAI, 1.444966,O,12,15.493724
